"","term","sum","matched_pathways","seed"
"2636","Hyperekplexia","0","",3011
"2637","Polyploidy","1","Coronavirus disease - COVID-19",3011
"2638","Silver-Russell Syndrome","0","",3011
"2639","Takotsubo Cardiomyopathy","1","Coronavirus disease - COVID-19",3011
"2640","Dermatitis, Allergic Contact","1","Coronavirus disease - COVID-19",3011
"2641","Limbic Encephalitis","0","",3011
"2642","Eosinophilia-Myalgia Syndrome","NA","",3011
"2643","Eye Diseases","1","Coronavirus disease - COVID-19",3011
"2644","Pregnancy, Heterotopic","0","",3011
"2645","Eye Infections, Parasitic","1","Coronavirus disease - COVID-19",3011
"2646","Mumps","1","Coronavirus disease - COVID-19",3011
"2647","Hyperferritinemia","NA","",3011
"2648","Pyelectasis","NA","",3011
"2649","Mastocytosis","1","Coronavirus disease - COVID-19",3011
"2650","Skin Manifestations","1","Coronavirus disease - COVID-19",3011
"2651","Avitaminosis","1","Coronavirus disease - COVID-19",3011
"2652","Neoplasms, Adipose Tissue","1","Coronavirus disease - COVID-19",3011
"2653","Knee Dislocation","0","",3011
"2654","Adrenocortical Carcinoma","0","",3011
"2655","Sensation Disorders","1","Coronavirus disease - COVID-19",3011
"2656","Leukocyte Disorders","1","Coronavirus disease - COVID-19",3011
"2657","Gastritis, Hypertrophic","NA","",3011
"2658","Hyperostosis, Cortical, Congenital","0","",3011
"2659","Isochromosomes","0","",3011
"2660","Urinary Incontinence, Stress","0","",3011
"2661","Glossitis, Benign Migratory","0","",3011
"2662","Waterborne Diseases","1","Coronavirus disease - COVID-19",3011
"2663","Fetal Nutrition Disorders","0","",3011
"2664","Rhinophyma","NA","",3011
"2665","Pulpitis","1","Coronavirus disease - COVID-19",3011
"2666","Intracranial Hypertension","1","Coronavirus disease - COVID-19",3011
"2667","Giardiasis","1","Coronavirus disease - COVID-19",3011
"2668","Pinta","NA","",3011
"2669","Leprosy, Paucibacillary","1","Coronavirus disease - COVID-19",3011
"2670","Jejunal Neoplasms","0","",3011
"2671","Pharyngeal Neoplasms","1","Coronavirus disease - COVID-19",3011
"2672","Otosclerosis","0","",3011
"2673","Malignant Atrophic Papulosis","1","Coronavirus disease - COVID-19",3011
"2674","Endocarditis, Non-Infective","0","",3011
"2675","Tooth Mobility","0","",3011
"2676","Paralysis, Obstetric","NA","",3011
"2677","Henipavirus Infections","1","Coronavirus disease - COVID-19",3011
"2678","Histiocytoma","0","",3011
"2679","Leukemia, Prolymphocytic, B-Cell","0","",3011
"2680","Phlebotomus Fever","1","Coronavirus disease - COVID-19",3011
"2681","Hemophilia B","0","",3011
"2682","Osteitis","1","Coronavirus disease - COVID-19",3011
"2683","Neovascularization, Pathologic","1","Coronavirus disease - COVID-19",3011
"2684","Artificial Lens Implant Migration","0","",3011
"2685","Hyperglycemic Hyperosmolar Nonketotic Coma","0","",3011
"2686","Adenomatoid Tumor","0","",3011
"2687","Somatostatinoma","0","",3011
"2688","Odontoma","0","",3011
"2689","Hearing Loss, Conductive","0","",3011
"2690","Pneumoconiosis","1","Coronavirus disease - COVID-19",3011
"2691","Brain Injuries, Traumatic","1","Coronavirus disease - COVID-19",3011
"2692","Rotator Cuff Injuries","1","Coronavirus disease - COVID-19",3011
"2693","Trichomonas Vaginitis","0","",3011
"2694","Exophthalmos","1","Coronavirus disease - COVID-19",3011
"2695","Corneal Dystrophies, Hereditary","0","",3011
"2696","Cryptorchidism","0","",3011
"2697","Hyperlipoproteinemia Type V","0","",3011
"2698","Vascular System Injuries","1","Coronavirus disease - COVID-19",3011
"2699","Keratoderma, Palmoplantar, Epidermolytic","0","",3011
"2700","Hypercalcemia","1","Coronavirus disease - COVID-19",3011
"2701","Overbite","0","",3011
"2702","Peliosis Hepatis","0","",3011
"2703","Nerve Sheath Neoplasms","1","Coronavirus disease - COVID-19",3011
"2704","Cystitis","1","Coronavirus disease - COVID-19",3011
"2705","Jervell-Lange Nielsen Syndrome","0","",3011
"2706","Mouth Breathing","0","",3011
"2707","Sister Mary Joseph's Nodule","NA","",3011
"2708","Menorrhagia","1","Coronavirus disease - COVID-19",3011
"2709","Campomelic Dysplasia","0","",3011
"2710","Cellulite","0","",3011
"2711","Pneumonia, Viral","1","Coronavirus disease - COVID-19",3011
"2712","Rhinitis, Vasomotor","NA","",3011
"2713","Nephritis, Hereditary","1","Coronavirus disease - COVID-19",3011
"2714","Healthcare-Associated Pneumonia","1","Coronavirus disease - COVID-19",3011
"2715","Rotator Cuff Tear Arthropathy","0","",3011
"2716","Abetalipoproteinemia","0","",3011
"2717","Angiomatosis","0","",3011
"2718","Adams-Stokes Syndrome","NA","",3011
"2719","Plague","1","Coronavirus disease - COVID-19",3011
"2720","Odontogenic Cysts","1","Coronavirus disease - COVID-19",3011
"2721","Balanitis","1","Coronavirus disease - COVID-19",3011
"2722","Pseudopseudohypoparathyroidism","0","",3011
"2723","Nasal Polyps","1","Coronavirus disease - COVID-19",3011
"2724","Wiskott-Aldrich Syndrome","1","Coronavirus disease - COVID-19",3011
"2725","Laryngeal Nerve Injuries","0","",3011
"2726","Mental Fatigue","0","",3011
"2727","Joint Deformities, Acquired","NA","",3011
"2728","Graves Disease","1","Coronavirus disease - COVID-19",3011
"2729","Myringosclerosis","0","",3011
"2730","Salmonella Food Poisoning","0","",3011
"2731","Osteoarthritis, Knee","1","Coronavirus disease - COVID-19",3011
"2732","Calcinosis Cutis","NA","",3011
"2733","De Lange Syndrome","0","",3011
"2734","Pre-Excitation Syndromes","0","",3011
"2735","Skin Abnormalities","1","Coronavirus disease - COVID-19",3011
"2736","Adrenocortical Adenoma","0","",3011
"2737","Chilaiditi Syndrome","NA","",3011
"2738","Pyometra","0","",3011
"2739","Plasma Cell Granuloma, Pulmonary","NA","",3011
"2740","Dysbiosis","1","Coronavirus disease - COVID-19",3011
"2741","Hemifacial Spasm","0","",3011
"2742","Leukemia, Prolymphocytic, T-Cell","0","",3011
"2743","Borrelia Infections","1","Coronavirus disease - COVID-19",3011
"2744","Thyroiditis, Subacute","0","",3011
"2745","Osteoarthropathy, Secondary Hypertrophic","0","",3011
"2746","Foot Diseases","0","",3011
"2747","Autoimmune Diseases of the Nervous System","1","Coronavirus disease - COVID-19",3011
"2748","Neurofibroma, Plexiform","1","Coronavirus disease - COVID-19",3011
"2749","Plasmablastic Lymphoma","0","",3011
"2750","Corneal Ulcer","1","Coronavirus disease - COVID-19",3011
"2751","Acne Keloid","NA","",3011
"2752","Tuberculosis, Gastrointestinal","0","",3011
"2753","Latent Autoimmune Diabetes in Adults","0","",3011
"2754","Hemorrhagic Fever, Crimean","1","Coronavirus disease - COVID-19",3011
"2755","Spinal Osteochondrosis","1","Coronavirus disease - COVID-19",3011
"2756","Death, Sudden, Cardiac","NA","",3011
"2757","Weil Disease","NA","",3011
"2758","Post-Dural Puncture Headache","0","",3011
"2759","Urinary Fistula","0","",3011
"2760","Body Odor","NA","",3011
"2761","Adenocarcinoma","1","Coronavirus disease - COVID-19",3011
"2762","Pregnancy Complications, Infectious","1","Coronavirus disease - COVID-19",3011
"2763","Supratentorial Neoplasms","1","Coronavirus disease - COVID-19",3011
"2764","Postpartum Hemorrhage","0","",3011
"2765","Scleral Diseases","0","",3011
"2766","Vitreous Hemorrhage","1","Coronavirus disease - COVID-19",3011
"2767","Bone Neoplasms","1","Coronavirus disease - COVID-19",3011
"2768","Lymphedema","0","",3011
"2769","Argininosuccinic Aciduria","0","",3011
"2770","Heartwater Disease","0","",3011
"2771","Pruritus Ani","NA","",3011
"2772","Isolated Noncompaction of the Ventricular Myocardium","0","",3011
"2773","Myelodysplastic Syndromes","1","Coronavirus disease - COVID-19",3011
"2774","Polydactyly","0","",3011
"2775","Sweat Gland Neoplasms","0","",3011
"2776","Dental Calculus","1","Coronavirus disease - COVID-19",3011
"2777","Eye Diseases, Hereditary","1","Coronavirus disease - COVID-19",3011
"2778","Zoster Sine Herpete","NA","",3011
"2779","Cumulative Trauma Disorders","0","",3011
"2780","Lennox Gastaut Syndrome","0","",3011
"2781","Blindness","0","",3011
"2782","Corneal Perforation","0","",3011
"2783","Shwachman-Diamond Syndrome","0","",3011
"2784","Foodborne Diseases","0","",3011
"2785","Idiopathic Interstitial Pneumonias","1","Coronavirus disease - COVID-19",3011
"2786","Diaschisis","NA","",3011
"2787","Salivary Gland Calculi","0","",3011
"2788","Furunculosis","1","Coronavirus disease - COVID-19",3011
"2789","Poliomyelitis, Bulbar","NA","",3011
"2790","ACTH-Secreting Pituitary Adenoma","1","Coronavirus disease - COVID-19",3011
"2791","Movement Disorders","1","Coronavirus disease - COVID-19",3011
"2792","Thrombotic Stroke","1","Coronavirus disease - COVID-19",3011
"2793","Tetrasomy","NA","",3011
"2794","Angiodysplasia","0","",3011
"2795","Pouchitis","1","Coronavirus disease - COVID-19",3011
"2796","Optic Nerve Diseases","1","Coronavirus disease - COVID-19",3011
"2797","Steatocystoma Multiplex","0","",3011
"2798","Mutism","0","",3011
"2799","Purpura","1","Coronavirus disease - COVID-19",3011
"2800","Orofaciodigital Syndromes","NA","",3011
"2801","Diabetes Insipidus, Neurogenic","0","",3011
"2802","Chromosomal Instability","1","Coronavirus disease - COVID-19",3011
"2803","Pre-Eclampsia","1","Coronavirus disease - COVID-19",3011
"2804","Radius Fractures","0","",3011
"2805","Carcinoid Heart Disease","0","",3011
"2806","Sleep Arousal Disorders","NA","",3011
"2807","Bovine Virus Diarrhea-Mucosal Disease","1","Coronavirus disease - COVID-19",3011
"2808","Hantavirus Infections","1","Coronavirus disease - COVID-19",3011
"2809","Sarcoma, Clear Cell","0","",3011
"2810","Amputation, Traumatic","0","",3011
"2811","Papillon-Lefevre Disease","0","",3011
"2812","Pilonidal Sinus","0","",3011
"2813","Down Syndrome","1","Coronavirus disease - COVID-19",3011
"2814","Hypolipoproteinemias","1","Coronavirus disease - COVID-19",3011
"2815","Acrospiroma","NA","",3011
"2816","Budd-Chiari Syndrome","0","",3011
"2817","Brain Contusion","1","Coronavirus disease - COVID-19",3011
"2818","Muscular Diseases","1","Coronavirus disease - COVID-19",3011
"2819","Jejunal Diseases","0","",3011
"2820","Precursor Cell Lymphoblastic Leukemia-Lymphoma","1","Coronavirus disease - COVID-19",3011
"2821","Recurrent Laryngeal Nerve Injuries","0","",3011
"2822","Mandibular Neoplasms","0","",3011
"2823","Lice Infestations","0","",3011
"2824","Respiration Disorders","1","Coronavirus disease - COVID-19",3011
"2825","Stupor","NA","",3011
"2826","Nose Deformities, Acquired","0","",3011
"2827","War-Related Injuries","0","",3011
"2828","Red-Cell Aplasia, Pure","1","Coronavirus disease - COVID-19",3011
"2829","SUNCT Syndrome","NA","",3011
"2830","Gardner Syndrome","0","",3011
"2831","Gastrointestinal Neoplasms","1","Coronavirus disease - COVID-19",3011
"2832","Hair Diseases","1","Coronavirus disease - COVID-19",3011
"2833","Anovulation","1","Coronavirus disease - COVID-19",3011
"2834","Iron Overload","1","Coronavirus disease - COVID-19",3011
"2835","No-Reflow Phenomenon","1","Coronavirus disease - COVID-19",3011
"2836","Nervous System Malformations","1","Coronavirus disease - COVID-19",3011
"2837","Multiple Organ Failure","1","Coronavirus disease - COVID-19",3011
"2838","Myxedema","0","",3011
"2839","Encephalomyelitis, Western Equine","NA","",3011
"2840","Dandy-Walker Syndrome","0","",3011
"2841","Multiple Chemical Sensitivity","0","",3011
"2842","Neuroaspergillosis","0","",3011
"2843","Enterocolitis, Necrotizing","1","Coronavirus disease - COVID-19",3011
"2844","Testicular Diseases","1","Coronavirus disease - COVID-19",3011
"2845","Thrombocytosis","1","Coronavirus disease - COVID-19",3011
"2846","Hypogonadism","0","",3011
"2847","Leukomalacia, Periventricular","0","",3011
"2848","Hypernatremia","0","",3011
"2849","Trochlear Nerve Diseases","0","",3011
"2850","Substance Abuse, Oral","NA","",3011
"2851","Spina Bifida Cystica","0","",3011
"2852","Prostatitis","1","Coronavirus disease - COVID-19",3011
"2853","Headache Disorders","0","",3011
"2854","Pelvic Neoplasms","0","",3011
"2855","Anastomotic Leak","1","Coronavirus disease - COVID-19",3011
"2856","Hypophysitis","0","",3011
"2857","Hyperthermia","0","",3011
"2858","Hyperemesis Gravidarum","0","",3011
"2859","Mycosis Fungoides","1","Coronavirus disease - COVID-19",3011
"2860","Airway Obstruction","1","Coronavirus disease - COVID-19",3011
"2861","Lipidoses","1","Coronavirus disease - COVID-19",3011
"2862","Sprains and Strains","0","",3011
"2863","Kidney Diseases","1","Coronavirus disease - COVID-19",3011
"2864","Torsion Abnormality","0","",3011
"2865","Kidney Papillary Necrosis","NA","",3011
"2866","Hemangioma, Cavernous, Central Nervous System","1","Coronavirus disease - COVID-19",3011
"2867","Accessory Atrioventricular Bundle","0","",3011
"2868","Melanosis","1","Coronavirus disease - COVID-19",3011
"2869","Hallux Varus","NA","",3011
"2870","Ichthyosiform Erythroderma, Congenital","1","Coronavirus disease - COVID-19",3011
"2871","Radiation Injuries","1","Coronavirus disease - COVID-19",3011
"2872","Lymphoma, T-Cell, Peripheral","1","Coronavirus disease - COVID-19",3011
"2873","Endarteritis","NA","",3011
"2874","Porphyria, Hepatoerythropoietic","0","",3011
"2875","Lynch Syndrome II","0","",3011
"2876","Pallor","0","",3011
"2877","Corneal Neovascularization","1","Coronavirus disease - COVID-19",3011
"2878","Granuloma, Foreign-Body","0","",3011
"2879","Peroneal Neuropathies","0","",3011
"2880","Mastocytoma","0","",3011
"2881","Emphysema","1","Coronavirus disease - COVID-19",3011
"2882","Uveal Neoplasms","1","Coronavirus disease - COVID-19",3011
"2883","Carcinoma, Lewis Lung","1","Coronavirus disease - COVID-19",3011
"2884","Leukodystrophy, Metachromatic","0","",3011
"2885","Micrognathism","0","",3011
"2886","Choroid Hemorrhage","0","",3011
"2887","Chilblains","1","Coronavirus disease - COVID-19",3011
"2888","Morton Neuroma","NA","",3011
"2889","Oxyuriasis","0","",3011
"2890","Vulvar Vestibulitis","NA","",3011
"2891","Hashimoto Disease","1","Coronavirus disease - COVID-19",3011
"2892","Dyspareunia","0","",3011
"2893","Thecoma","NA","",3011
"2894","Conjunctivitis, Viral","0","",3011
"2895","Arthritis, Psoriatic","1","Coronavirus disease - COVID-19",3011
"2896","Neoplasms, Adnexal and Skin Appendage","0","",3011
"2897","Amblyopia","0","",3011
"2898","Cystadenoma, Papillary","NA","",3011
"2899","Hyperphagia","0","",3011
"2900","Psychoses, Substance-Induced","0","",3011
"2901","Netherton Syndrome","0","",3011
"2902","Bland White Garland Syndrome","NA","",3011
"2903","Tetraploidy","1","Coronavirus disease - COVID-19",3011
"2904","Hyperthyroxinemia, Familial Dysalbuminemic","0","",3011
"2905","Sarcoidosis","1","Coronavirus disease - COVID-19",3011
"2906","Colitis, Ulcerative","1","Coronavirus disease - COVID-19",3011
"2907","Cobblestone Lissencephaly","0","",3011
"2908","Adenomyosis","1","Coronavirus disease - COVID-19",3011
"2909","Chromothripsis","0","",3011
"2910","Fascioliasis","0","",3011
"2911","Water Intoxication","0","",3011
"2912","Coccidiosis","1","Coronavirus disease - COVID-19",3011
"2913","Prosthesis-Related Infections","1","Coronavirus disease - COVID-19",3011
"2914","Lipoid Proteinosis of Urbach and Wiethe","NA","",3011
"2915","Hepatitis A","1","Coronavirus disease - COVID-19",3011
"2916","Whooping Cough","1","Coronavirus disease - COVID-19",3011
"2917","Post-Infectious Disorders","1","Coronavirus disease - COVID-19",3011
"2918","Aphasia, Conduction","0","",3011
"2919","Caroli Disease","0","",3011
"2920","Blackwater Fever","0","",3011
"2921","Carcinoid Tumor","0","",3011
"2922","Flushing","0","",3011
"2923","46, XX Testicular Disorders of Sex Development","0","",3011
"2924","Rocky Mountain Spotted Fever","0","",3011
"2925","Periapical Diseases","1","Coronavirus disease - COVID-19",3011
"2926","Branchioma","0","",3011
"2927","Fibroma, Ossifying","0","",3011
"2928","Andersen Syndrome","0","",3011
"2929","Enthesopathy","1","Coronavirus disease - COVID-19",3011
"2930","Urination Disorders","1","Coronavirus disease - COVID-19",3011
"2931","Paraneoplastic Syndromes, Ocular","0","",3011
"2932","Ventricular Remodeling","1","Coronavirus disease - COVID-19",3011
"2933","Echovirus Infections","0","",3011
"2934","Alcohol Withdrawal Seizures","0","",3011
"2935","Myocardial Ischemia","1","Coronavirus disease - COVID-19",3011
"2936","Protein-Losing Enteropathies","0","",3011
"2937","Laryngeal Diseases","1","Coronavirus disease - COVID-19",3011
"2938","Dyspnea, Paroxysmal","NA","",3011
"2939","Neoplasm Recurrence, Local","1","Coronavirus disease - COVID-19",3011
"2940","Nails, Malformed","1","Coronavirus disease - COVID-19",3011
"2941","Periodontal Atrophy","1","Coronavirus disease - COVID-19",3011
"2942","Rectal Diseases","1","Coronavirus disease - COVID-19",3011
"2943","Endolymphatic Hydrops","1","Coronavirus disease - COVID-19",3011
"2944","Lipomatosis","0","",3011
"2945","Gastroparesis","1","Coronavirus disease - COVID-19",3011
"2946","von Willebrand Disease, Type 1","0","",3011
"2947","Pica","0","",3011
"2948","Common Bile Duct Neoplasms","0","",3011
"2949","Gait Apraxia","NA","",3011
"2950","Esophageal Stenosis","0","",3011
"2951","Headache Disorders, Secondary","0","",3011
"2952","Ossification, Heterotopic","1","Coronavirus disease - COVID-19",3011
"2953","Diabetes Mellitus, Type 2","1","Coronavirus disease - COVID-19",3011
"2954","Chronic Periodontitis","1","Coronavirus disease - COVID-19",3011
"2955","Glomerulonephritis, Membranous","1","Coronavirus disease - COVID-19",3011
"2956","Epiglottitis","0","",3011
"2957","Myocardial Infarction","1","Coronavirus disease - COVID-19",3011
"2958","Bronchial Spasm","0","",3011
"2959","Splenic Neoplasms","1","Coronavirus disease - COVID-19",3011
"2960","Intraocular Lymphoma","0","",3011
"2961","Night Terrors","NA","",3011
"2962","Multiple Carboxylase Deficiency","0","",3011
"2963","Hypervitaminosis A","0","",3011
"2964","Bites and Stings","1","Coronavirus disease - COVID-19",3011
"2965","Fibroma, Desmoplastic","0","",3011
"2966","Sleep Apnea Syndromes","1","Coronavirus disease - COVID-19",3011
"2967","Hypophosphatemia, Familial","0","",3011
"2968","Leukokeratosis, Hereditary Mucosal","0","",3011
"2969","Abnormalities, Radiation-Induced","NA","",3011
"2970","Lymphoma, Large-Cell, Immunoblastic","NA","",3011
"2971","Tarsal Tunnel Syndrome","0","",3011
"2972","Hypercholesterolemia","1","Coronavirus disease - COVID-19",3011
"2973","Neurofibrosarcoma","0","",3011
"2974","Peritoneal Diseases","1","Coronavirus disease - COVID-19",3011
"2975","Diffuse Cerebral Sclerosis of Schilder","0","",3011
"2976","Ambulatory Care Sensitive Conditions","NA","",3011
"2977","Pulmonary Blastoma","0","",3011
"2978","Actinomycosis, Cervicofacial","NA","",3011
"2979","Proteinuria","1","Coronavirus disease - COVID-19",3011
"2980","Asphyxia Neonatorum","1","Coronavirus disease - COVID-19",3011
"2981","Carcinoma, Basosquamous","0","",3011
"2982","Oculocerebrorenal Syndrome","0","",3011
"2983","Endocrine Gland Neoplasms","1","Coronavirus disease - COVID-19",3011
"2984","Fascioloidiasis","NA","",3011
"2985","Hearing Disorders","1","Coronavirus disease - COVID-19",3011
"2986","Heel Spur","NA","",3011
"2987","Sleep Apnea, Central","0","",3011
"2988","Extensively Drug-Resistant Tuberculosis","0","",3011
"2989","Cerebral Arterial Diseases","1","Coronavirus disease - COVID-19",3011
"2990","Erdheim-Chester Disease","1","Coronavirus disease - COVID-19",3011
"2991","Olfaction Disorders","0","",3011
"2992","Postpoliomyelitis Syndrome","NA","",3011
"2993","Mycoplasmatales Infections","1","Coronavirus disease - COVID-19",3011
"2994","Chondromalacia Patellae","NA","",3011
"2995","Narcolepsy","NA","",3011
"2996","Pityriasis","1","Coronavirus disease - COVID-19",3011
"2997","Mandibular Fractures","0","",3011
"2998","Hand-Foot Syndrome","0","",3011
"2999","Nevus, Pigmented","1","Coronavirus disease - COVID-19",3011
"3000","Pleural Diseases","1","Coronavirus disease - COVID-19",3011
"3001","Acanthamoeba Keratitis","0","",3011
"3002","Craniofacial Abnormalities","1","Coronavirus disease - COVID-19",3011
"3003","Ellis-Van Creveld Syndrome","0","",3011
"3004","Fragile X Syndrome","0","",3011
"3005","Goldenhar Syndrome","0","",3011
"3006","Puberty, Precocious","0","",3011
"3007","Postoperative Hemorrhage","0","",3011
"3008","Polyuria","0","",3011
"3009","Immersion Foot","NA","",3011
"3010","Neurosyphilis","1","Coronavirus disease - COVID-19",3011
"3011","Urinary Bladder, Overactive","0","",3011
"3012","Univentricular Heart","0","",3011
"3013","Radicular Cyst","1","Coronavirus disease - COVID-19",3011
"3014","Glossoptosis","NA","",3011
"3015","Silicosis","1","Coronavirus disease - COVID-19",3011
"3016","Ophthalmia Neonatorum","NA","",3011
"3017","Skin Diseases","1","Coronavirus disease - COVID-19",3011
"3018","Arthritis","1","Coronavirus disease - COVID-19",3011
"3019","Shoulder Injuries","1","Coronavirus disease - COVID-19",3011
"3020","Dwarfism","1","Coronavirus disease - COVID-19",3011
"3021","Myelitis, Transverse","1","Coronavirus disease - COVID-19",3011
"3022","Tooth Erosion","0","",3011
"3023","Carbuncle","NA","",3011
"3024","Hypertrophy, Right Ventricular","1","Coronavirus disease - COVID-19",3011
"3025","Cholera Morbus","NA","",3011
"3026","Nidovirales Infections","1","Coronavirus disease - COVID-19",3011
"3027","Dermatitis, Occupational","0","",3011
"3028","Allesthesia","NA","",3011
"3029","Neuralgia, Postherpetic","0","",3011
"3030","Migraine without Aura","0","",3011
"3031","Nutrition Disorders","1","Coronavirus disease - COVID-19",3011
"3032","Supraglottitis","0","",3011
"3033","Tracheal Diseases","1","Coronavirus disease - COVID-19",3011
"3034","Pseudorabies","1","Coronavirus disease - COVID-19",3011
"3035","Foreign-Body Reaction","1","Coronavirus disease - COVID-19",3011
"3036","Gonorrhea","1","Coronavirus disease - COVID-19",3011
"3037","Arthrogryposis","0","",3011
"3038","Myocardial Contusions","NA","",3011
"3039","Amyotrophic Lateral Sclerosis","1","Coronavirus disease - COVID-19",3011
"3040","Leukemia, Myeloid, Chronic-Phase","0","",3011
"3041","Cleft Lip","1","Coronavirus disease - COVID-19",3011
"3042","Femoral Neuropathy","0","",3011
"3043","Keratoconjunctivitis, Infectious","NA","",3011
"3044","Labor Pain","0","",3011
"3045","Erythrokeratodermia Variabilis","0","",3011
"3046","Delayed Emergence from Anesthesia","0","",3011
"3047","Post-Cardiac Arrest Syndrome","NA","",3011
"3048","Lipodystrophy","1","Coronavirus disease - COVID-19",3011
"3049","Glomus Tympanicum Tumor","NA","",3011
"3050","Maxillofacial Injuries","0","",3011
"3051","Spina Bifida Occulta","0","",3011
"3052","Hydrothorax","0","",3011
"3053","Common Bile Duct Diseases","0","",3011
"3054","Feminization","0","",3011
"3055","Asthma","1","Coronavirus disease - COVID-19",3011
"3056","Mucositis","1","Coronavirus disease - COVID-19",3011
"3057","Hyperparathyroidism","1","Coronavirus disease - COVID-19",3011
"3058","Endocarditis, Subacute Bacterial","NA","",3011
"3059","Nephroma, Mesoblastic","0","",3011
"3060","Familial Multiple Lipomatosis","NA","",3011
"3061","Enterovirus Infections","1","Coronavirus disease - COVID-19",3011
"3062","Febrile Neutropenia","1","Coronavirus disease - COVID-19",3011
"3063","Remission, Spontaneous","1","Coronavirus disease - COVID-19",3011
"3064","Uveal Effusion Syndrome","NA","",3011
"3065","Neuroaxonal Dystrophies","0","",3011
"3066","Empty Sella Syndrome","0","",3011
"3067","Ring Chromosomes","0","",3011
"3068","Infarction, Posterior Cerebral Artery","NA","",3011
"3069","Neoplasms, Bone Tissue","1","Coronavirus disease - COVID-19",3011
"3070","Spinal Osteophytosis","0","",3011
"3071","Cataplexy","0","",3011
"3072","Chemical and Drug Induced Liver Injury, Chronic","0","",3011
"3073","Sprue, Tropical","NA","",3011
"3074","Primary Progressive Nonfluent Aphasia","0","",3011
"3075","Mental Retardation, X-Linked","1","Coronavirus disease - COVID-19",3011
"3076","Pleuropneumonia","0","",3011
"3077","Viremia","1","Coronavirus disease - COVID-19",3011
"3078","Aortic Aneurysm, Abdominal","1","Coronavirus disease - COVID-19",3011
"3079","Atrophic Vaginitis","NA","",3011
"3080","Tricuspid Valve Insufficiency","0","",3011
"3081","Peritonsillar Abscess","0","",3011
"3082","Reoviridae Infections","1","Coronavirus disease - COVID-19",3011
"3083","Sinus Arrest, Cardiac","0","",3011
"3084","Liver Diseases, Alcoholic","1","Coronavirus disease - COVID-19",3011
"3085","Pregnancy, Angular","NA","",3011
"3086","Raynaud Disease","0","",3011
"3087","Meningitis, Cryptococcal","1","Coronavirus disease - COVID-19",3011
"3088","Williams Syndrome","0","",3011
"3089","Wounds and Injuries","1","Coronavirus disease - COVID-19",3011
"3090","Diabetic Cardiomyopathies","1","Coronavirus disease - COVID-19",3011
"3091","Chronic Pain","1","Coronavirus disease - COVID-19",3011
"3092","Buruli Ulcer","0","",3011
"3093","Chediak-Higashi Syndrome","0","",3011
"3094","Embolism and Thrombosis","1","Coronavirus disease - COVID-19",3011
"3095","Sinus Pericranii","NA","",3011
"3096","Varicella Zoster Virus Infection","1","Coronavirus disease - COVID-19",3011
"3097","Malaria, Cerebral","1","Coronavirus disease - COVID-19",3011
"3098","Cat-Scratch Disease","0","",3011
"3099","HELLP Syndrome","1","Coronavirus disease - COVID-19",3011
"3100","Myofascial Pain Syndromes","1","Coronavirus disease - COVID-19",3011
"3101","Hepatorenal Syndrome","1","Coronavirus disease - COVID-19",3011
"3102","Pheochromocytoma","0","",3011
"3103","Myocardial Reperfusion Injury","1","Coronavirus disease - COVID-19",3011
"3104","Callosities","NA","",3011
"3105","ACTH Syndrome, Ectopic","0","",3011
"3106","Trigeminal Nerve Injuries","0","",3011
"3107","Idiopathic Noncirrhotic Portal Hypertension","NA","",3011
"3108","Infratentorial Neoplasms","1","Coronavirus disease - COVID-19",3011
"3109","Noonan Syndrome","0","",3011
"3110","Ecchymosis","0","",3011
"3111","Persistent Fetal Circulation Syndrome","0","",3011
"3112","Glomus Jugulare Tumor","NA","",3011
"3113","Pythiosis","1","Coronavirus disease - COVID-19",3011
"3114","Mast Cell Activation Syndrome","NA","",3011
"3115","Conjunctivitis, Bacterial","1","Coronavirus disease - COVID-19",3011
"3116","Catheter-Related Infections","0","",3011
"3117","Superinfection","1","Coronavirus disease - COVID-19",3011
"3118","Adenocarcinoma, Follicular","0","",3011
"3119","Salivary Gland Diseases","1","Coronavirus disease - COVID-19",3011
"3120","Necrosis","1","Coronavirus disease - COVID-19",3011
"3121","Dentinogenesis Imperfecta","0","",3011
"3122","Insulin Resistance","1","Coronavirus disease - COVID-19",3011
"3123","Spasms, Infantile","0","",3011
"3124","Rhinorrhea","0","",3011
"3125","Thalamic Diseases","0","",3011
"3126","RNA Virus Infections","1","Coronavirus disease - COVID-19",3011
"3127","Ichthyosis","1","Coronavirus disease - COVID-19",3011
"3128","Intra-Articular Fractures","1","Coronavirus disease - COVID-19",3011
"3129","Irritable Bowel Syndrome","1","Coronavirus disease - COVID-19",3011
"3130","Hyperopia","1","Coronavirus disease - COVID-19",3011
"3131","Consciousness Disorders","1","Coronavirus disease - COVID-19",3011
"3132","Odontodysplasia","1","Coronavirus disease - COVID-19",3011
"3133","Spinal Cord Ischemia","1","Coronavirus disease - COVID-19",3011
"3134","Aortopulmonary Septal Defect","0","",3011
"3135","Ventricular Dysfunction, Left","1","Coronavirus disease - COVID-19",3011
"3136","Ischemia","1","Coronavirus disease - COVID-19",3011
"3137","Respiratory Sounds","1","Coronavirus disease - COVID-19",3011
"3138","Multiple Myeloma","1","Coronavirus disease - COVID-19",3011
"3139","Dyslexia, Acquired","NA","",3011
"3140","Toxoplasmosis, Congenital","0","",3011
"3141","Neurofibroma","1","Coronavirus disease - COVID-19",3011
"3142","Nematode Infections","1","Coronavirus disease - COVID-19",3011
